FromC,ToC,From,To,Time,Distance,Cost,Mode,fromProvince,toProvince
1,27,Kepulauan Seribu,Kota Cirebon,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,27,Kepulauan Seribu,Kota Cirebon,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,28,Kepulauan Seribu,Kota Bekasi,2.0991220700592,46.408648629647814,4.525624593350235,0,DKI Jakarta,Jawa Barat
1,28,Kepulauan Seribu,Kota Bekasi,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,28,Kepulauan Seribu,Kota Bekasi,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,29,Kepulauan Seribu,Kota Depok,2.5049364322683845,60.362552200262634,13.827077323609974,0,DKI Jakarta,Jawa Barat
1,29,Kepulauan Seribu,Kota Depok,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,29,Kepulauan Seribu,Kota Depok,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,30,Kepulauan Seribu,Kota Cimahi,4.067451599209879,167.14177756652842,6.711608794238816,0,DKI Jakarta,Jawa Barat
1,30,Kepulauan Seribu,Kota Cimahi,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,30,Kepulauan Seribu,Kota Cimahi,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,31,Kepulauan Seribu,Kota Tasikmalaya,7.680350562294494,278.69865193148286,12.643915209664193,0,DKI Jakarta,Jawa Barat
1,31,Kepulauan Seribu,Kota Tasikmalaya,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,31,Kepulauan Seribu,Kota Tasikmalaya,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,32,Kepulauan Seribu,Kota Banjar,7.443271284324089,308.3657149711439,8.227203191529924,0,DKI Jakarta,Jawa Barat
1,32,Kepulauan Seribu,Kota Banjar,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,32,Kepulauan Seribu,Kota Banjar,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,33,Kepulauan Seribu,Cilacap,9.371228726493086,353.894918200396,27.618699630868804,0,DKI Jakarta,Jawa Tengah
1,33,Kepulauan Seribu,Cilacap,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,33,Kepulauan Seribu,Cilacap,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,34,Kepulauan Seribu,Banyumas,9.514709769700511,370.0398518012554,13.757471706992533,0,DKI Jakarta,Jawa Tengah
1,34,Kepulauan Seribu,Banyumas,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,34,Kepulauan Seribu,Banyumas,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,35,Kepulauan Seribu,Purbalingga,10.006990973969607,399.70852863977035,16.0341325285574,0,DKI Jakarta,Jawa Tengah
1,35,Kepulauan Seribu,Purbalingga,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,35,Kepulauan Seribu,Purbalingga,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,36,Kepulauan Seribu,Banjarnegara,14.550596974506488,543.8530820363059,29.88478196030956,0,DKI Jakarta,Jawa Tengah
1,36,Kepulauan Seribu,Banjarnegara,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,36,Kepulauan Seribu,Banjarnegara,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,37,Kepulauan Seribu,Kebumen,10.522403934369901,428.6036329258298,18.044318457275597,0,DKI Jakarta,Jawa Tengah
1,37,Kepulauan Seribu,Kebumen,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,37,Kepulauan Seribu,Kebumen,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,38,Kepulauan Seribu,Purworejo,11.319505407587803,468.433616508666,25.040693196992734,0,DKI Jakarta,Jawa Tengah
1,38,Kepulauan Seribu,Purworejo,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,38,Kepulauan Seribu,Purworejo,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,39,Kepulauan Seribu,Wonosobo,15.497916182849744,607.8940665350481,31.554547147232093,0,DKI Jakarta,Jawa Tengah
1,39,Kepulauan Seribu,Wonosobo,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,39,Kepulauan Seribu,Wonosobo,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,40,Kepulauan Seribu,Magelang,13.012877513768307,544.7326605491639,20.419774410086003,0,DKI Jakarta,Jawa Tengah
1,40,Kepulauan Seribu,Magelang,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,40,Kepulauan Seribu,Magelang,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,41,Kepulauan Seribu,Boyolali,16.143024780213924,594.8163360574948,41.00041659271027,0,DKI Jakarta,Jawa Tengah
1,41,Kepulauan Seribu,Boyolali,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,41,Kepulauan Seribu,Boyolali,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,42,Kepulauan Seribu,Klaten,12.558992398102612,545.6270186856042,14.005174525175558,0,DKI Jakarta,Jawa Tengah
1,42,Kepulauan Seribu,Klaten,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,42,Kepulauan Seribu,Klaten,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,43,Kepulauan Seribu,Sukoharjo,13.34575592556318,576.754397167218,12.08324436121488,0,DKI Jakarta,Jawa Tengah
1,43,Kepulauan Seribu,Sukoharjo,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
